Title,Price,Currency,Condition,Seller Feedback %,Seller Feedback Score,Shipping Cost,Shipping Currency,Original Price,Discount Percentage,Discount Amount,Country,Shipping_Cost,Brand,Processor,RAM,Device Type
Fast Windows Xp Dell Computer 790 i5 3.3ghz 500gb HDD dvd/RW Dual monitor,851.5998,MAD,Used,97.7,337,0.0,MAD,851.5998,0,0.0,United States,0.0,Dell,i5,Unknown,Desktop
"HP RGB G3 Desktop Computer i7 32GB 2TB SSD 2TB HDD New 24"" LED Built-in WiFi Pro",1703.2998,MAD,Refurbished,98.1,17849,0.0,MAD,1953.8999999999999,13,250.6002,United States,0.0,Hp,i7,32GB,Desktop
"HP Desktop Computer PC i7 6TH,up to 64GB RAM,17TB SSD HDD,  Windows 10/11, WiFi",1392.78,MAD,Refurbished,99.2,2206,0.0,MAD,6963.9,80,5571.12,United States,0.0,Hp,i7,Unknown,Desktop
"HP Desktop Computer PC i7, up to 64GB RAM, 8TB SSD, Windows 11/10, WiFi",1392.78,MAD,Refurbished,99.6,263,0.0,MAD,6713.4,79,5320.62,United States,0.0,Hp,i7,Unknown,Desktop
HP Desktop i5 Computer Mini Pc Up To 16GB RAM 1TB HDD/SSD Windows 10 Pro Wi-Fi,717.6324,MAD,Refurbished,98.6,127179,0.0,MAD,956.91,25,239.27759999999998,United States,0.0,Hp,i5,16GB,Desktop
Dell OptiPlex 7050 Micro Tower PC Computer i5-7500T 2.50GHz 8GB WIFI + Adapter#2,701.2997999999999,MAD,Used,95.8,1150,0.0,MAD,701.2997999999999,0,0.0,United States,0.0,Dell,i5,8GB,Desktop
"HP 15.6"" Business Laptop Computer i5-7300 16GB RAM 256GB SSD DVD Windows 11 Pro",1993.98,MAD,Refurbished,98.9,8365,0.0,MAD,1993.98,0,0.0,United States,0.0,Hp,i5,16GB,Laptop
"Windows 11 PRO Laptop Notebook PC Computer, 8GB Ram, Webcam, Wifi, and HDMI",991.9799999999999,MAD,Used,94.8,47559,0.0,MAD,991.9799999999999,0,0.0,United States,0.0,Unknown,Unknown,8GB,Laptop
Dell OptiPlex 3050 Micro USFF Intel i5-7500 16GB RAM 128GB SSD Windows 11 WiFi !,998.8937999999999,MAD,Used,97.0,52218,0.0,MAD,998.8937999999999,0,0.0,United States,0.0,Dell,i5,16GB,Desktop
"New Hp 22"" All-In-One Desktop Computer Pentium Silver 3.2GHz 8GB 128GB SSD Win11",2605.0998,MAD,Open Box,99.0,22569,0.0,MAD,2605.0998,0,0.0,United States,0.0,Hp,Unknown,8GB,Desktop
Lenovo Windows 11 Desktop i5 Computer PC Tower Up To 32GB RAM 4TB HDD/SSD Wi-Fi,2264.3196,MAD,Refurbished,98.6,127179,0.0,MAD,2264.3196,0,0.0,United States,0.0,Lenovo,i5,32GB,Desktop
New HP Pavilion Computer Intel 12th Gen i3-12100 4.30GHz 8GB RAM 512GB SSD W11,2204.2998,MAD,Open Box,99.0,22569,0.0,MAD,2204.2998,0,0.0,United States,0.0,Hp,i3,8GB,Desktop
"HP Desktop Computer PC i5 8th Gen, up to 64GB RAM 4TB SSD, Windows 11/10 Pro",3173.2338,MAD,Refurbished,100.0,14745,0.0,MAD,15865.9686,80,12692.7348,United States,0.0,Hp,i5,Unknown,Desktop
"HP Desktop Computer PC i7, up to 64GB RAM 4TB SSD, 24"" LCDs, Windows 11/10 Pro",2726.7426,MAD,Refurbished,100.0,14745,0.0,MAD,13633.9134,80,10907.1708,United States,0.0,Hp,i7,Unknown,Desktop
"Dell OptiPlex 7040, Core i7-6700, 32GB RAM 512GB SSD, 3.2 GHz, WIFI, Win 10 Pro.",1725.048,MAD,Used,97.8,130,0.0,MAD,1815.84,5,90.79199999999999,Canada,0.0,Dell,i7,32GB,Desktop
"HP Desktop Computer PC i7, up to 64GB RAM, 4TB SSD, Windows 11/10 Pro, WiFi BT",3053.6376,MAD,Refurbished,100.0,14745,45.69,MAD,15268.1104,80,12214.4728,Canada,354.5544,Hp,i7,Unknown,Desktop
Dell Windows 11 Pro Desktop Computer PC Up To i7 8th Gen. 32GB RAM 4TB SSD/HDD,2764.2672000000002,MAD,Refurbished,98.6,127179,45.45,MAD,3455.4504,20,691.1056,Canada,352.692,Dell,i7,32GB,Desktop
"DELL Desktop Computer PC i7, up to 64GB RAM 16TB SSD/HDD, Windows 10/11, WiFi BT",1419.6919999999998,MAD,Refurbished,99.2,2206,35.99,MAD,6760.4344,79,5340.7424,Canada,279.2824,Dell,i7,Unknown,Desktop
"Lenovo ThinkCentre M710s intel 6th gen BareBone G4400, No Ram, No Hard Drive",349.1224,MAD,Used,99.7,1262,0.0,MAD,349.1224,0,0.0,Canada,0.0,Lenovo,Unknown,Unknown,Desktop
Lenovo Desktop i5 Computer Mini Pc Up To 32GB RAM 1TB SSD Windows 10 Pro Wi-Fi,1232.3656,MAD,Refurbished,98.6,127179,28.59,MAD,1540.5152,20,308.1496,Canada,221.8584,Lenovo,i5,32GB,Desktop
HP Desktop i5 Computer PC Tower Up To 32GB RAM 4TB SSD/HDD Windows 10 Pro Wi-Fi,1391.0575999999999,MAD,Refurbished,98.6,127179,57.59,MAD,1738.8608000000002,20,347.8032,Canada,446.89840000000004,Hp,i5,32GB,Desktop
HP ProDesk 400 G4 Microtower PC Barebone No CPU/Ram/Hard Drive,387.9224,MAD,Used,99.7,1262,0.0,MAD,387.9224,0,0.0,Canada,0.0,Hp,Unknown,Unknown,Desktop
Gaming PC RGB Desktop Computer i7 32GB  1TB SSD 2TB HDD RX 580 WIFI WIN10 PRO,3741.6392,MAD,Refurbished,98.7,9003,67.44,MAD,3741.6392,0,0.0,Canada,523.3344,Unknown,i7,32GB,Desktop
Dell Optiplex XE3 Intel Core i7 8700 8th Gen. 3.2 GHz,715.3168000000001,MAD,Used,100.0,604,42.746583710407236,MAD,715.3168000000001,0,0.0,Canada,331.71348959276014,Dell,i7,Unknown,Desktop
HP EliteDesk 800 G3 SFF | i5-7500 | 16GB RAM | 256GB SSD | Win 10 Pro | Fast PC,1163.9224,MAD,Used,0.0,0,0.0,MAD,1163.9224,0,0.0,Canada,0.0,Hp,i5,16GB,Desktop
Custom Gaming PC Desktop Computer Intel i7 Core RTX 4060 SSD + 2TB HDD 32GB RAM,7483.356,MAD,New,98.3,1396,179.27,MAD,7483.356,0,0.0,Canada,1391.1352,Unknown,i7,32GB,Desktop
